question,position,job_title,company,year,source,company_type,seniority,Subject,Model Answer,Hint Suggestion,Approach Suggestion
Do you have experience with databases?,Software Engineer,Software Engineer,"Antra, Apple, Atos, Dell Technologies, Lowe's Companies, Mphasis, NTT Data, Tata Consultancy Services, Uber",2021,manual,industry,mid,DBMS,"A DBMS is software that manages databases and allows storing, retrieving, updating and securing data efficiently.
It ensures data integrity, security and concurrency control.
Examples: MySQL, PostgreSQL, Oracle.",Identify the main concept in: 'Do you have experience with databases?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What sorting algorithms are you familiar with?,ML & Data,Senior Data Scientist,"Amadeus, American Express, Bentley Systems, Capgemini, Cybage , FactSet, Fujitsu, Google, HCLTech, Hewlett Packard Enterprise, Huawei, IBM , Intuit, Meta, Mphasis, Oracle, PwC , Qualcomm, SpaceX, Tata Consultancy Services, Thomson Reuters, Two Sigma, Uber, ValueLabs, Visa",2021,manual,industry,senior,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'What sorting algorithms are you familiar with?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you predict the likelihood of a rider cancelling a request?,ML & Data,Senior Data Scientist,Uber,2023,manual,bigtech,senior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you predict the likelihood of a rider cancelling a request?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you design a transportation service similar to Uber for large events?,Product Manager,Lead Product Manager,Uber,2023,manual,bigtech,senior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you design a transportation service similar to Uber for large events?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you implement a hashmap?,Software Engineer,Senior Software Engineer - Java,"Indeed, Informatica, Microsoft, Mitchell International, Morgan Stanley, Oracle, SAP, Swiggy, Twilio, Uber",2022,manual,industry,senior,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you implement a hashmap?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you design a key-value data structure with all operations in constant time complexity?,Backend Developer,SDE-2 Backend,Uber,2022,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you design a key-value data structure with all operations in constant time complexity?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain how hashmaps work?,Software Engineer,College Software Developer,"Agoda, Dassault Systèmes, IDEMIA, Mastercard, Oracle, Paycom, UKG (Ultimate Kronos Group), Uber",2020,manual,industry,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain how hashmaps work?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Have you ever built a simple web app before?,Frontend Developer,Senior Software Engineer - Frontend,Uber,2020,manual,,,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Have you ever built a simple web app before?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain the different types of SQL joins and how they differ from each other?,Data Analyst,Senior Data Analyst,Uber,2020,manual,,,DBMS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain the different types of SQL joins and how they differ from each other?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain how to create a spiral matrix?,Software Engineer,Software Engineer,"Oracle, Uber",2020,manual,,,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain how to create a spiral matrix?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain your experience with matrix manipulation in a LC-style question?,Software Engineer,Software Engineer(Internship),Uber,2020,manual,,,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'Can you explain your experience with matrix manipulation in a LC-style question?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you describe a variation of Depth-First Search?,Software Engineer,Software Engineer,Uber,2020,manual,,,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you describe a variation of Depth-First Search?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain how hash tables work?,Software Engineer,Software Engineer - Product,"Akamai Technologies, Block, Huawei, Oracle, Roblox, Twitter, Uber",2014,manual,industry,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain how hash tables work?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the difference between l1 and l2 regularization?,ML & Data,Data Scientist,"C3 AI, Capital One, Cognizant, Grab, IBM , Klaviyo, Uber",2020,manual,industry,mid,General CS,"Key Differences:
• Definition and purpose differ
• Usage scenarios are different
• Performance/behavior varies
Provide one example for each.",Identify the main concept in: 'What is the difference between l1 and l2 regularization?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is your familiarity with object-oriented programming?,Software Engineer,Software Development Engineer (SDE),Uber,2021,manual,bigtech,mid,General CS,"Your familiarity with object-oriented programming is a fundamental concept in computer science explaining how a component or system works.
Include definition, working and example for full marks.",Identify the main concept in: 'What is your familiarity with object-oriented programming?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain a difficult data structures and algorithms problem you have solved in the past?,Software Engineer,Software Development Engineer (SDE) II,Uber,2021,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain a difficult data structures and algorithms problem you have solved in the past?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you solve a scaling issue in the payment module?,Software Engineer,Engineering Manager,Uber,2021,manual,bigtech,senior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you solve a scaling issue in the payment module?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you reverse the words in a string?,Software Engineer,Software Engineer,"Bloomberg LP, GoDaddy, Microsoft, Uber",2014,manual,industry,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you reverse the words in a string?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain a graph based question that requires knowledge of modified breadth-first search?,Software Engineer,Software Engineer(Internship),Uber,2024,manual,bigtech,junior,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain a graph based question that requires knowledge of modified breadth-first search?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you write a program that takes a configuration file as input and builds dependencies?,Software Engineer,Software Engineer,Uber,2017,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you write a program that takes a configuration file as input and builds dependencies?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain your approach to system design?,Software Engineer,Software Engineer II,"Alarm.com, Braze, NetApp, Publicis Sapient, Stripe, The Walt Disney Company, TikTok , Uber, Wise",2016,manual,industry,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain your approach to system design?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain object oriented design?,Software Engineer,Software Engineer II,"Trimble Inc., Uber",2016,manual,industry,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain object oriented design?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What sorting algorithms have you worked with?,Software Engineer,Software Engineer,Uber,2016,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'What sorting algorithms have you worked with?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the difference between a reference and a pointer?,Software Engineer,Software Engineer,"NetApp, SpaceX, Uber",2016,manual,industry,mid,General CS,"Key Differences:
• Definition and purpose differ
• Usage scenarios are different
• Performance/behavior varies
Provide one example for each.",Identify the main concept in: 'What is the difference between a reference and a pointer?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you perform exploratory data analysis on a given dataset?,ML & Data,Senior Data Scientist,Uber,2016,manual,bigtech,senior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you perform exploratory data analysis on a given dataset?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you build a predictive model using different approaches?,ML & Data,Senior Data Scientist,Uber,2016,manual,bigtech,senior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you build a predictive model using different approaches?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain a data structure you have used in a previous project?,Software Engineer,Software Engineer/Developer,Uber,2021,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain a data structure you have used in a previous project?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Could you provide an example application of Binary search?,Software Engineer,Software Engineer,Uber,2020,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Could you provide an example application of Binary search?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain a variation of Sliding window and how to find the max of all the window min for the array?,Software Engineer,Software Engineer,Uber,2020,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain a variation of Sliding window and how to find the max of all the window min for the array?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you provide examples of your implementation and design skills?,Software Engineer,Software Engineering Intern,Uber,2020,manual,bigtech,junior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you provide examples of your implementation and design skills?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Explain how to find the kth smallest element in a Binary Search Tree.,Software Engineer,Software Engineer,Uber,2015,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Explain how to find the kth smallest element in a Binary Search Tree.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Discuss the purposes of using a heap.,Software Engineer,Software Engineer,Uber,2015,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Discuss the purposes of using a heap.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you design an analytical framework for a ride-sharing feature?,iOS Developer,Senior IOS Developer,Uber,2018,manual,bigtech,senior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you design an analytical framework for a ride-sharing feature?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain how you would use regular expressions for verification?,Software Engineer,Software Engineer,Uber,2018,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain how you would use regular expressions for verification?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you create a page in JavaScript/HTML based on a given example?,Frontend Developer,Frontend Engineer,Uber,2018,manual,bigtech,mid,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'How would you create a page in JavaScript/HTML based on a given example?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you provide an example of a simple algorithm?,Software Engineer,Associate Software Developer,"NTT Data, Uber",2019,manual,industry,junior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you provide an example of a simple algorithm?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain a graph problem related to topological sort?,Software Engineer,Software Development Engineer,Uber,2019,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain a graph problem related to topological sort?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you design a class and write a function to convert a matrix into a quad tree?,ML & Data,Machine Learning Engineer,Uber,2021,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you design a class and write a function to convert a matrix into a quad tree?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you design a photo sharing app?,Backend Developer,Backend Software Engineer,Uber,2021,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you design a photo sharing app?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you write a function similar to Promise.all in JavaScript but it should only run N processes at a time?,Software Engineer,Software Engineer,Uber,2021,manual,bigtech,mid,Operating System,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'Can you write a function similar to Promise.all in JavaScript but it should only run N processes at a time?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Do you have experience in algorithm coding?,ML & Data,Data Scientist,Uber,2022,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Do you have experience in algorithm coding?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How do you implement memoization in plain JavaScript?,Frontend Developer,Senior Software Engineer Front End,Uber,2020,manual,bigtech,senior,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'How do you implement memoization in plain JavaScript?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain how to perform a typical tree traversal and find the child node?,Software Engineer,Staff Software Engineer,Uber,2022,manual,bigtech,senior,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain how to perform a typical tree traversal and find the child node?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain how you would use a HashMap to store data and perform various tasks in Java?,iOS Developer,IOS Engineer,Uber,2022,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain how you would use a HashMap to store data and perform various tasks in Java?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain how to determine if a new feature is a good idea?,ML & Data,Sr Data Scientist,Uber,2024,manual,bigtech,senior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain how to determine if a new feature is a good idea?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How do you find the shortest routes to pick up all passengers on a 2D map?,Software Engineer,SWE Intern,Uber,2024,manual,bigtech,junior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How do you find the shortest routes to pick up all passengers on a 2D map?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you determine whether a given sudoku board is valid or not?,Software Engineer,Software Engineer,Uber,2024,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you determine whether a given sudoku board is valid or not?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Describe what sockets are in networking.,Software Engineer,Software Engineer,Uber,2024,manual,bigtech,mid,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'Describe what sockets are in networking.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What are the layers in the networking stack?,Software Engineer,Software Engineer,Uber,2024,manual,bigtech,mid,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'What are the layers in the networking stack?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you build a front end for an API?,Software Engineer,New Grad Software Engineer,Uber,2024,manual,bigtech,junior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you build a front end for an API?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you determine if a given tree is a valid binary search tree?,Software Engineer,Software Engineer(Internship),Uber,2024,manual,bigtech,junior,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you determine if a given tree is a valid binary search tree?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you organize this data in state management?,Frontend Developer,Front End Engineer,Uber,2021,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you organize this data in state management?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain how to serialize and deserialize an n-ary general tree?,Software Engineer,Software Engineer,Uber,2019,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain how to serialize and deserialize an n-ary general tree?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you investigate using log files through the command line?,Cybersecurity Engineer,Security Analyst,Uber,2019,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you investigate using log files through the command line?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you investigate the CEO receiving a phishing email and analyze it?,Cybersecurity Engineer,Security Analyst,Uber,2019,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you investigate the CEO receiving a phishing email and analyze it?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you analyze a Windows user logging into the server?,Cybersecurity Engineer,Security Analyst,Uber,2019,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you analyze a Windows user logging into the server?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How will you analyze a log with 6 million lines of code to figure out IP addresses using the command line?,Cybersecurity Engineer,Security Analyst,Uber,2019,manual,bigtech,mid,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'How will you analyze a log with 6 million lines of code to figure out IP addresses using the command line?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you create a forensic image of a Mac OS?,Cybersecurity Engineer,Security Analyst,Uber,2019,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you create a forensic image of a Mac OS?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Have you worked with graphs before?,Software Engineer,Software Engineer(Internship),"Amazon, Informatica, Uber",2019,manual,bigtech,junior,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Have you worked with graphs before?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you find a number match in an unsorted array of integers?,Backend Developer,Senior Backend Engineer,Uber,2019,manual,bigtech,senior,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'How would you find a number match in an unsorted array of integers?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain tree traversal?,Software Engineer,Software Engineer,"ASML, Bloomberg LP, General Motors, Intuit, Palantir, Uber, ValueLabs",2019,manual,industry,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain tree traversal?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you describe your coding processes?,Software Engineer,Mid-Senior Software Engineer,Uber,2023,manual,bigtech,mid,Operating System,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you describe your coding processes?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain your approach to the blue and red button experimental design case study?,ML & Data,Data Scientist,Uber,2021,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain your approach to the blue and red button experimental design case study?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you decide on the amount of coupon to give to an Uber Eats customer?,ML & Data,Data Scientist,Uber,2021,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you decide on the amount of coupon to give to an Uber Eats customer?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
