question,position,jobTitle,company,year,Subject,Model Answer,Hint Suggestion,Approach Suggestion
Can you describe your current roles and responsibilities in your current project?,QA/Testing,Software QA Engineer,NVIDIA,2013,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you describe your current roles and responsibilities in your current project?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you implement the producer/consumer problem?,Software Engineer,Software Engineer,NVIDIA,2013,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you implement the producer/consumer problem?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the role of a memory manager in a system?,Systems Engineer,System Engineer intern,NVIDIA,2021,General CS,"The role of a memory manager in a system is a fundamental concept in computer science explaining how a component or system works.
Include definition, working and example for full marks.",Identify the main concept in: 'What is the role of a memory manager in a system?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you provide an example of a calculation question related to latency?,Systems Engineer,System Engineer intern,NVIDIA,2021,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you provide an example of a calculation question related to latency?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Explain virtual memory.,Software Engineer,Software Engineer(Internship),NVIDIA,2021,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Explain virtual memory.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Describe multi-threading concepts.,Software Engineer,Software Engineer(Internship),NVIDIA,2021,Operating System,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Describe multi-threading concepts.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Explain the importance of bits in computing.,Software Engineer,Software Engineer(Internship),NVIDIA,2021,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Explain the importance of bits in computing.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What are syscalls?,Software Engineer,Software Engineer(Internship),NVIDIA,2021,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What are syscalls?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Discuss the role of caches in computer architecture.,Software Engineer,Software Engineer(Internship),NVIDIA,2021,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Discuss the role of caches in computer architecture.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain your knowledge of C at an architectural level?,Systems Engineer,Senior System Engineer,NVIDIA,2021,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain your knowledge of C at an architectural level?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the process for finding the maximum depth of a binary tree?,ML & Data,Senior Machine Learning Engineer,NVIDIA,2021,Operating System,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'What is the process for finding the maximum depth of a binary tree?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the purpose of using a cache?,Software Engineer,Software Engineer,NVIDIA,2015,General CS,"The purpose of using a cache is a fundamental concept in computer science explaining how a component or system works.
Include definition, working and example for full marks.",Identify the main concept in: 'What is the purpose of using a cache?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain how interrupts work?,Software Engineer,Software Engineer,NVIDIA,2015,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain how interrupts work?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you describe your responsibilities in your current role?,ML & Data,Data Scientist,Jacobs; NVIDIA; Pinterest; Veritas Technologies,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you describe your responsibilities in your current role?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you convert a binary tree to a double linked tree?,Software Engineer,Software Engineer,NVIDIA,2023,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you convert a binary tree to a double linked tree?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you write a function to find two indexes in an array such that the elements at those indexes sum up to a given target value?,Software Engineer,Software Engineer,NVIDIA,2024,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you write a function to find two indexes in an array such that the elements at those indexes sum up to a given targe'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you provide a summary of a project you worked on involving big data?,ML & Data,Data Scientist,NVIDIA,2016,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you provide a summary of a project you worked on involving big data?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Write a code for printing quotient and remainder of two numbers without using division and modulus operators.,Software Engineer,Software Engineer,NVIDIA,2016,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Write a code for printing quotient and remainder of two numbers without using division and modulus operators.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you describe a small technical problem you had to solve in the past?,Software Engineer,Senior Software Engineer,NVIDIA,2023,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you describe a small technical problem you had to solve in the past?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Explain the concepts of closure and hoisting in JavaScript.,Full Stack Developer,"Full-Stack Software Engineering, AI Infrastructure",NVIDIA,2021,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'Explain the concepts of closure and hoisting in JavaScript.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What are your opinions on React? What do you appreciate and dislike about it?,Full Stack Developer,"Full-Stack Software Engineering, AI Infrastructure",NVIDIA,2021,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What are your opinions on React? What do you appreciate and dislike about it?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"If given a large body of text, how would you identify the top 10 most frequent words?",Full Stack Developer,"Full-Stack Software Engineering, AI Infrastructure",NVIDIA,2021,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'If given a large body of text, how would you identify the top 10 most frequent words?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
What data structure would you use for a grocery list?,Software Engineer,Software Engineer Intern,NVIDIA,2022,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What data structure would you use for a grocery list?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Explain your experience with object-oriented programming,Software Engineer,Software Developer,Micron Technology; NVIDIA,2022,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Explain your experience with object-oriented programming'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Write an algorithm that brings all the 0 elements to the end of the array and returns the number of non-zero elements.,Software Engineer,Software Engineering,NVIDIA,2015,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Write an algorithm that brings all the 0 elements to the end of the array and returns the number of non-zero elements.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you discuss any experience you have with shaders?,Software Engineer,Software Engineer,NVIDIA,2015,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you discuss any experience you have with shaders?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you declare a function in an abstract class?,Software Engineer,Graphics Software Engineering,NVIDIA,2015,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you declare a function in an abstract class?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the purpose of the mutable keyword in C++?,Software Engineer,Graphics Software Engineering,NVIDIA,2015,General CS,"The purpose of the mutable keyword in c++ is a fundamental concept in computer science explaining how a component or system works.
Include definition, working and example for full marks.",Identify the main concept in: 'What is the purpose of the mutable keyword in C++?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Compare the differences between C and C++.,Software Engineer,Graphics Software Engineering,NVIDIA,2015,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Compare the differences between C and C++.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you detect a loop in a singly linked list in O(n) time?,Software Engineer,Graphics Software Engineering,NVIDIA,2015,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'How would you detect a loop in a singly linked list in O(n) time?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you compress a string like 'AAABBCCCCCCAAAAA' to '3A2B6C5A'?,Software Engineer,Software Engineer,NVIDIA,2015,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you compress a string like 'AAABBCCCCCCAAAAA' to '3A2B6C5A'?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the difference between Python and C?,Software Engineer,Trainee Software Engineer,HSBC; NVIDIA; Tata Consultancy Services,2024,General CS,"Key Differences:
• Definition and purpose differ
• Usage scenarios are different
• Performance/behavior varies
Provide one example for each.",Identify the main concept in: 'What is the difference between Python and C?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Have you worked on kernel/driver level tasks before?,Software Engineer,Software Engineer,NVIDIA,2012,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Have you worked on kernel/driver level tasks before?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is your experience with working with linked lists?,Software Engineer,Senior Software Engineer,NVIDIA,2021,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'What is your experience with working with linked lists?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain what deadlock is and how to prevent it?,Software Engineer,Software Engineer,NVIDIA,2015,Operating System,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain what deadlock is and how to prevent it?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain the concepts of constructor and destructor in C++?,Software Engineer,Software Engineer,NVIDIA,2017,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain the concepts of constructor and destructor in C++?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What are virtual functions in C++ and how do they work?,Software Engineer,Software Engineer,Amadeus; NVIDIA; Oracle,2017,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What are virtual functions in C++ and how do they work?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How does variable scope work in C++?,Software Engineer,Software Engineer,NVIDIA,2017,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How does variable scope work in C++?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What are global variables and how are they used in C++?,Software Engineer,Software Engineer,NVIDIA,2017,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What are global variables and how are they used in C++?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Why do we need the 'ref' keyword in C#?,Software Engineer,Software Engineer,NVIDIA,2017,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Why do we need the 'ref' keyword in C#?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you manage a memory buffer of 5MB?,Software Engineer,Software Engineer,NVIDIA,2022,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you manage a memory buffer of 5MB?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Do you have any experience with CUDA?,Software Engineer,Software Engineer,NVIDIA,2022,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Do you have any experience with CUDA?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the difference between Socket and port?,QA/Testing,Test Development Engineer,NVIDIA,2018,General CS,"Key Differences:
• Definition and purpose differ
• Usage scenarios are different
• Performance/behavior varies
Provide one example for each.",Identify the main concept in: 'What is the difference between Socket and port?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the command for finding the IP address of a machine in Linux?,QA/Testing,Test Development Engineer,NVIDIA,2018,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'What is the command for finding the IP address of a machine in Linux?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Is multiple inheritance possible in Python?,QA/Testing,Test Development Engineer,NVIDIA,2018,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'Is multiple inheritance possible in Python?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is Python's MRO (Method Resolution Order)?,QA/Testing,Test Development Engineer,NVIDIA,2018,General CS,"Python's mro (method resolution order) is a fundamental concept in computer science explaining how a component or system works.
Include definition, working and example for full marks.",Identify the main concept in: 'What is Python's MRO (Method Resolution Order)?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How do you conduct competitor analysis?,Gaming Engineer,Gaming Performance Engineer,NVIDIA,2021,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How do you conduct competitor analysis?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you provide details about your work experience and personal projects?,Software Engineer,Software Engineer,NVIDIA,2021,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you provide details about your work experience and personal projects?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Discuss BFS and DFS techniques used in binary trees.,Software Engineer,Software Engineer,NVIDIA,2021,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Discuss BFS and DFS techniques used in binary trees.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you begin searching for training images that were misclassified by a convolutional neural network (e.g. find all images with cats that were not classified as cats)?,Solutions Engineer,Senior Solutions Architect,NVIDIA,2018,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'How would you begin searching for training images that were misclassified by a convolutional neural network (e.g. find a'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Write a program that checks if a string is Palindrome.,QA/Testing,QA Engineer,NVIDIA,2020,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Write a program that checks if a string is Palindrome.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Discuss a challenging algorithm you have worked on,Software Engineer,Software Developer,NVIDIA,2022,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Discuss a challenging algorithm you have worked on'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Describe a puzzle you have solved in the past,Software Engineer,Software Developer,NVIDIA,2022,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Describe a puzzle you have solved in the past'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you provide examples of projects you have completed in the past?,Software Engineer,Software Developer,NVIDIA,2022,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you provide examples of projects you have completed in the past?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain how you would sort a string?,Software Engineer,Entry Level Programmer,Citi; NVIDIA,2020,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain how you would sort a string?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you write code for a recursive file type search?,QA/Testing,Senior QA Engineer,NVIDIA,2019,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you write code for a recursive file type search?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain the boot process of multicore systems?,Software Engineer,Senior Software Engineer,NVIDIA,2021,Operating System,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain the boot process of multicore systems?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What are some key OS concepts you are familiar with?,Software Engineer,Senior Software Engineer,NVIDIA; Oracle,2021,Operating System,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What are some key OS concepts you are familiar with?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Write a code to make a word palindrome.,ML & Data,Machine Learning Intern,NVIDIA,2023,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Write a code to make a word palindrome.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Are you comfortable with basic live testing scenarios?,QA/Testing,Software QA Tester,NVIDIA,2017,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Are you comfortable with basic live testing scenarios?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you implement a system that calculates the sum of '1' bits coming from a 7-bit input?,QA/Testing,Test Engineer,NVIDIA,2019,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you implement a system that calculates the sum of '1' bits coming from a 7-bit input?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Write a program to calculate x to the power of y.,Software Engineer,Software Engineer(Internship),NVIDIA,2019,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Write a program to calculate x to the power of y.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you go about detecting memory leaks in a large project with thousands of lines of code?,Software Engineer,OpenGL Software Engineer,NVIDIA,2013,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you go about detecting memory leaks in a large project with thousands of lines of code?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you discuss your experience and projects listed on your resume?,ML & Data,Machine Learning Engineer,Ford Motor Company; NVIDIA,2020,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you discuss your experience and projects listed on your resume?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How to create an efficient search algorithm for an n-dimensional matrix with many zeros?,ML & Data,Machine Learning Engineer,NVIDIA,2020,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How to create an efficient search algorithm for an n-dimensional matrix with many zeros?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
In what scenarios would you use C++ and in what scenarios would you use Python?,ML & Data,Machine Learning Engineer,NVIDIA,2020,Operating System,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'In what scenarios would you use C++ and in what scenarios would you use Python?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"How would you calculate the total value of a list of cards based on the card numbers, disregarding the suit?",Full Stack Developer,Full Stack Engineer,NVIDIA,2019,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'How would you calculate the total value of a list of cards based on the card numbers, disregarding the suit?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
How would you print a Linked List in reversed order without using recursion?,Software Engineer,Software Engineer,NVIDIA,2015,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'How would you print a Linked List in reversed order without using recursion?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Compare different activation functions?,Software Engineer,Deep Learning Software Engineer Opportunity,NVIDIA,2018,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Compare different activation functions?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you add two numbers represented as Linked Lists?,Software Engineer,Autonomous Vehicles Software Engineer,NVIDIA,2018,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you add two numbers represented as Linked Lists?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"Can you describe a product that you successfully brought to market and explain your process for planning, managing, and executing it?",Product Manager,Product Management Intern,NVIDIA,2024,Operating System,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'Can you describe a product that you successfully brought to market and explain your process for planning, managing, and '. What problem does it solve?","Answer in 3 parts: definition, working, and example."
How do you approach problem-solving in a DevOps environment?,DevOps Engineer,Devops Engineer,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How do you approach problem-solving in a DevOps environment?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"Have you ever written a driver? If so, can you provide details about it?",Systems Engineer,Software/Systems Engineer Intern,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'Have you ever written a driver? If so, can you provide details about it?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
Can you write a function to determine if two words are anagrams?,Systems Engineer,Software/Systems Engineer Intern,NVIDIA,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you write a function to determine if two words are anagrams?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Write a function that takes the head pointer of a singly linked list of ints and prints the list in reverse order,Software Engineer,Software Engineer,NVIDIA,2011,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Write a function that takes the head pointer of a singly linked list of ints and prints the list in reverse order'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you describe how virtual memory works and what it is used for?,Software Engineer,Software Engineer Intern,NVIDIA,2011,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you describe how virtual memory works and what it is used for?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
When would you choose to use virtual memory and when would you not?,Software Engineer,Software Engineer Intern,NVIDIA,2011,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'When would you choose to use virtual memory and when would you not?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"What are the purposes of Kubelet, Kubeproxy, and CNI?",DevOps Engineer,Devops Engineer,NVIDIA,2020,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'What are the purposes of Kubelet, Kubeproxy, and CNI?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
